Id;Villes;Label;Lat;Lon;Pays
135;Saarbrucken;Saarbrucken;49,2480555556;6,9858333333;GER
136;Rastatt;Rastatt;48,8622222222;8,2058333333;GER
137;Offenburg;Offenburg;48,4683333333;7,9497222222;GER
138;Dudelange;Dudelange;49,4866666667;6,1119444444;LUX
139;Mouscron;Mouscron I;50,7746944444;3,1873888889;BEL
140;Mouscron;Mouscron II;50,7486944444;3,24075;BEL
141;Herstal;Herstal;50,6898055556;5,5851111111;BEL
142;Beersel;Beersel;50,7698888889;4,3113611111;BEL
143;Wavre;Wavre;50,7364722222;4,6021944444;BEL
144;Oostende;Oostende;51,2126666667;2,9493055556;BEL
145;Knokke;Knokke;51,31725;3,2954166667;BEL
146;St-Niklaas;St-Niklaas;51,1578611111;4,1358055556;BEL
147;Boom;Boom;51,0907777778;4,3796944444;BEL
148;Cognelée;Cognelée;50,5163888889;4,9025555556;BEL
149;Rumes;Rumes;50,5394444444;3,309;BEL
150;Adinkerke - La Panne;Adinkerke - La Panne;51,0644444444;2,6044166667;BEL
151;Aalst;Aalst;50,9593888889	;4,0374722222;BEL
152;Achêne;Achêne;50,2663333333;5,04375;BEL
153;Beauwelz;Beauwelz;50,0111111111;4,1778333333;BEL
154;Bouillon;Bouillon;49,7953888889;5,0724444444;BEL
155;Eizeringen;Eizeringen;50,8303333333;4,1435833333;BEL
156;Fosses-la-Ville;Fosses-la-Ville;50,3720555556;4,6913333333;BEL
157;Gembloux;Gembloux;50,503;4,7206666667;BEL
158;Graide;Graide;49,9336666667;5,0432777778;BEL
159;Halle;Halle;50,7387777778;4,2421111111;BEL
160;Houtremont;Houtremont;49,9431944444	;4,9442222222;BEL
161;Le Touquet;Le Touquet;50,7105;2,913;BEL
162;Machelen;Machelen;50,9133611111;4,43725;BEL
163;Manage;Manage;50,5038611111;4,2345;BEL
164;Marloie;Marloie;50,1961944444;5,3129722222;BEL
165;Mechelen;Mechelen;51,0453611111;4,4946111111;BEL
166;Merchtem;Merchtem;50,9578888889;4,2779166667;BEL
167;Mettet;Mettet I;50,3049166667;4,6497222222;BEL
168;Mettet;Mettet II;50,3072222222;4,6677777778;BEL
169;Opwijk;Opwijk;50,9633611111;4,2205833333;BEL
170;Oudenaarde;Oudenaarde;50,84;3,5833333333;BEL
171;Ouffet;Ouffet;50,4426666667;5,4683333333;BEL
172;Philippeville;Philippeville;50,20175;4,5314722222;BEL
173;Putte;Putte;51,0558333333;4,6268611111;BEL
174;Rocherath;Rocherath;50,4345;6,2943055556;BEL
175;Roisin;Roisin;50,3536944444;3,7025;BEL
176;Ronquières;Ronquières;50,595;4,2197222222;BEL
177;Schaarbeek;Schaarbeek;50,8781944444;4,3798055556;BEL
178;Vilvoorde;Vilvoorde;50,9273333333;4,4258888889;BEL
179;Wanlin;Wanlin;50,1592222222;5,0613055556;BEL
180;Wellin;Wellin;50,0832777778;5,114;BEL
181;Wolvertem;Wolvertem;50,9679166667;4,2881388889;BEL
182;Feluy;Feluy;50,5469444444;4,2047222222;BEL
183;Baileux;Baileux;50,0355277778;4,3773611111;BEL
184;Bierges;Bierges;50,7364722222;4,6021944444;BEL
185;Les Isnes;Les Isnes;50,503;4,7206666667;BEL
186;Lambermont;Lambermont;50,5840916667;5,8343694444;BEL
188;Verlaine;Verlaine;50,5918916667;5,302675;BEL
189;Marchin;Marchin;50,4762555556;5,2131555556;BEL
190;Marche;Marche;50,2436666667;5,3369583333;BEL
191;Bouillon;Bouillon (AWC);49,826495;5,086087;BEL
192;Bergerac;Bergerac;44,8466666667;0,5066666667;FRA
193;Fay-aux-Loges;Fay-aux-Loges;47,9111111111;2,1355555556;FRA
194;Stave;Stave;50,2866666667;4,6477777778;BEL
195;Couvin;Couvin;50,0463888889;4,4984444444;BEL
196;Fismes;Fismes;49,3041666667;3,6944444444;FRA
197;Moulins;Moulins (Yzeure);46,5880555556;3,3291666667;FRA
198;Chalon-sur-Saône;Chalon-sur-Saône (Parking Demigny);46,8119444444;4,8444444444;FRA
199;Mâcon;Mâcon (Zone Portuaire);46,2797222222;4,8113888889;FRA
200;Issoudun;Issoudun (actuel);46,9494444444;2,0058333333;FRA
201;Agen;Agen 2018;43,8883333333;1,0063888889;FRA
202;St Vincent;St Vincent (2016);43,6672222222;-1,2863888889;FRA
203;St Vincent;St Vincent (St. Jean de Marsacq) ;43,6402777778;-1,2533333333;FRA
204;Jouy-le-Chatel;Jouy-le-Chatel;48,6430555556;3,1716666667;FRA
205;Montauban;Montauban (2016);44,0952777778;1,545;FRA
206;Barcelona;Barcelona (2018);41,4019444444;1,7569444444;ESP
207;Limoges;Limoges (St.Yrieix-la-Perche);45,5508333333;1,2041666667;FRA
208;Maissemy;Maissemy;49,8714444444;3,1966388889;FRA
